id, image, name
A-01, /images/A-01.png, こども乗りものデザイン展
A-02, /images/A-02.png, 共催20周年お祝い企画！みんなで音色づくり
A-03, /images/A-03.png, さぁ自分だけの宝物を見つけよう。キミの相棒 『ミライモビリティ』
B-01, /images/B-01.png, お仕事体験(ミニカーづくり)
B-02, /images/B-02.png, お仕事体験(タイヤ交換)
B-03, /images/B-03.png, サッカーロボでAIと対決しよう
B-04, /images/B-04.png, 愛知工業大学・ロボット研究ミュージアム ロボットアート
B-05, /images/B-05.png, レスキュークローラーで遊ぼう！
B-06, /images/B-06.png, 動くおもちゃを作ろう!
B-07, /images/B-07.png, 大きな万華鏡を作ろう！
B-08, /images/B-08.png, おしゃれな石鹸づくり
B-09, /images/B-09.png, 己書で描く 缶バッチ制作
B-10, /images/B-10.png, カスタネットをつくろう
B-11, /images/B-11.png, ウグイス笛をつくろう
B-12, /images/B-12.png, SDGｓで作ってみよう！ディンプルアート
B-13, /images/B-13.png, オリジナルマイポーチをつくろう！
B-14, /images/B-14.png, 飛ばしてキャッチ！
B-15, /images/B-15.png, エコクラフト
B-16, /images/B-16.png, からくり津義のからくり劇場
B-17, /images/B-17.png, 空カフェ（空飛ぶクルマVR体験）
B-18, /images/B-18.png, 小枝アート
B-19, /images/B-19.png, 作って遊ぼう竹おもちゃ!（風車）
B-20, /images/B-20.png, 作って遊ぼう竹おもちゃ!（大根弓矢）
B-21, /images/B-21.png, 科学とアートの積み木遊び
B-22, /images/B-22.png, ビスマス結晶づくり
B-23, /images/B-23.png, 紙すき体験とマスコットづくり
B-24, /images/B-24.png, 手洗いマスターになろう！～ばい菌バイバイ～
B-25, /images/B-25.png, 体重で操作する新感覚クルマいすHumonii
B-27, /images/B-27.png, 立ってもすわっても動けるのりものQolo
B-28, /images/B-28.png, 飛ばそうロケット
B-29, /images/B-29.png, メダカのアクアリウムを作ろう
B-30, /images/B-30.png, 模様って動くんだ！
B-31, /images/B-31.png, 風船を使ってハナなどを作ろう
B-32, /images/B-32.png, 光と色の不思議体験とLED工作
B-33, /images/B-33.png, 君はテレビ石を作れるか？
B-34, /images/B-34.png, 飛ばしてみよう！！竹とんぼ
B-35, /images/B-35.png, とよた指合わせサングラスづくり
B-36, /images/B-36.png, リサイクル牛乳パックこま
B-37, /images/B-37.png, スライムをつくろう
B-38, /images/B-38.png, 作ろう！ゴム動力飛行機
B-39, /images/B-39.png, 木でつくる入れ物やおもちゃ（円型木琴）
B-40, /images/B-40.png, 木でつくる入れ物やおもちゃ（貯金箱）
B-41, /images/B-41.png, 木でつくる入れ物やおもちゃ（写真立て）
B-42, /images/B-42.png, ボトラッパー
B-43, /images/B-43.png, スラローム スケートボード
B-44, /images/B-44.png, プロペラ車! －親子で倒せ10ピン－
B-45, /images/B-45.png, ウインドカー! －風力全開レース－
B-46, /images/B-46.png, しゃぼん玉用フラッパーづくり
B-47, /images/B-47.png, 本格的輪ゴム銃をつくろう
B-48, /images/B-48.png, オリジナル防災ヘルメットを作る
B-49, /images/B-49.png, ミニブーメラン発射器の製作
C-01, /images/C-01.png, 自動運転ミニカーバトル
C-02, /images/C-02.png, はじめてのドライブ
C-03, /images/C-03.png, とよたのキッズスペース
D-01, /images/D-01.png, ランクルオフロード体験
D-02, /images/D-02.png, アイデアコンテスト
E-00, /images/E-00.png, はたらく乗りもの大集合！
G-01, /images/G-01.png, レザー小物づくり
G-02, /images/G-02.png, ぶんちんづくり
G-03, /images/G-03.png, お皿づくり
G-04, /images/G-04.png, モータースポーツ乗りもの大集合！
G-05, /images/G-05.png, ソープボックスダービー
G-06, /images/G-06.png, ソープボックスモックカー工作
H-01, /images/H-01.png, 世界に一台だけ！？ハイラックスにサウナ！
Welcome, Welcome, Welcome
